property,title,value,format
7708234640-VSHP201660,"ГРУППИРОВКА СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЙ ПО РАЗМЕРАМ ПОСЕВНОЙ ПЛОЩАДИ САХАРНОЙ СВЕКЛЫ ПОД УРОЖАЙ 2016 ГОДА",https://rosstat.gov.ru/opendata/7708234640-VSHP201660/meta.csv,csv
7708234640-totaloutignoreducation6064th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: всего без указавших уровень образования, 60-64 года",https://rosstat.gov.ru/opendata/7708234640-totaloutignoreducation6064th/meta.csv,csv
7708234640-mpn2015687,"Число лиц;Отсутствие в помещении: Присутствующие и отсутствующие в помещении менее одного года;Л8.1 Образование: среднее профессиональное (среднее специальное);Л3 Число исполнившихся лет: 18 и более",https://rosstat.gov.ru/opendata/7708234640-mpn2015687/meta.csv,csv
7708234640-VSHP2016184,"РАСПРЕДЕЛЕНИЕ ЧИСЛЕННОСТИ РУКОВОДИТЕЛЕЙ МАЛЫХ СЕЛЬСКОХОЗЯЙСТВЕННЫХ ПРЕДПРИЯТИЙ1) ПО ПОЛУ И ВОЗРАСТУ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016184/meta.csv,csv
7708234640-VSHP2016268,"СТРУКТУРА ПЛОЩАДИ ЗЕМЕЛЬНЫХ УЧАСТКОВ ПО ВИДАМ ИСПОЛЬЗОВАНИЯ В САДОВОДЧЕСКИХ НЕКОММЕРЧЕСКИХ ОБЪЕДИНЕНИЯХ ГРАЖДАН 1)",https://rosstat.gov.ru/opendata/7708234640-VSHP2016268/meta.csv,csv
7708234640-VSHP2016411,"ПОСЕВНАЯ ПЛОЩАДЬ ПОДСОЛНЕЧНИКА НА ЗЕРНО, ЗАСЕЯННАЯ ЭЛИТНЫМИ СЕМЕНАМИ ПОД УРОЖАЙ 2016 ГОДА В СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЯХ, КРЕСТЬЯНСКИХ (ФЕРМЕРСКИХ) ХОЗЯЙСТВАХ И У ИНДИВИДУАЛЬНЫХ ПРЕДПРИНИМАТЕЛЕЙ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016411/meta.csv,csv
7708234640-4044th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: 40-44 года",https://rosstat.gov.ru/opendata/7708234640-4044th/meta.csv,csv
7708234640-total1014th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: общий итог, 10-14 лет",https://rosstat.gov.ru/opendata/7708234640-total1014th/meta.csv,csv
7708234640-VSHP20169,"ОСНОВНЫЕ ИТОГИ ВСЕРОССИЙСКОЙ СЕЛЬСКОХОЗЯЙСТВЕННОЙ ПЕРЕПИСИ ПО ЛИЧНЫМ ПОДСОБНЫМ ХОЗЯЙСТВАМ И ИХ РАСПРЕДЕЛЕНИЕ ПО ЦЕЛЯМ ПРОИЗВОДСТВА СЕЛЬСКОХОЗЯЙСТВЕННОЙ ПРОДУКЦИИ",https://rosstat.gov.ru/opendata/7708234640-VSHP20169/meta.csv,csv
7708234640-totaloutignoreducation6plus,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: всего без указавших уровень образования, 6 лет и старше",https://rosstat.gov.ru/opendata/7708234640-totaloutignoreducation6plus/meta.csv,csv
7708234640-middleagetotal,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: Средний возраст, общий итог",https://rosstat.gov.ru/opendata/7708234640-middleagetotal/meta.csv,csv
7708234640-childgarden2529th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: дошкольное (для детей в возрасте 6-9 лет), 25-29 лет",https://rosstat.gov.ru/opendata/7708234640-childgarden2529th/meta.csv,csv
7708234640-highschool05th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: среднее (полное) общее, 0-5 лет",https://rosstat.gov.ru/opendata/7708234640-highschool05th/meta.csv,csv
7708234640-VSHP2016203,"СТРУКТУРА ЧИСЛЕННОСТИ ПОСТОЯННЫХ РАБОТНИКОВ СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЙ1) ПО ПОЛУ И ВОЗРАСТУ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016203/meta.csv,csv
7708234640-VSHP201634,"СТРУКТУРА СЕЛЬСКОХОЗЯЙСТВЕННЫХ УГОДИЙ В ХОЗЯЙСТВАХ ВСЕХ КАТЕГОРИЙ",https://rosstat.gov.ru/opendata/7708234640-VSHP201634/meta.csv,csv
7708234640-totaloutignor1819th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: всего без неуказавших, 18-19 лет",https://rosstat.gov.ru/opendata/7708234640-totaloutignor1819th/meta.csv,csv
7708234640-VSHP2016134,"ЧИСЛО СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЙ, КРЕСТЬЯНСКИХ (ФЕРМЕРСКИХ) ХОЗЯЙСТВ И ИНДИВИДУАЛЬНЫХ ПРЕДПРИНИМАТЕЛЕЙ, ЯВЛЯВШИХСЯ ЧЛЕНАМИ СЕЛЬСКОХОЗЯЙСТВЕННЫХ ПОТРЕБИТЕЛЬСКИХ КООПЕРАТИВОВ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016134/meta.csv,csv
7708234640-VSHP2016434,"ПЛОЩАДИ МНОГОЛЕТНИХ СУБТРОПИЧЕСКИХ ПЛОДОВЫХ НАСАЖДЕНИЙ ПО ВИДАМ В ХОЗЯЙСТВАХ ВСЕХ КАТЕГОРИЙ, СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЯХ, КРЕСТЬЯНСКИХ (ФЕРМЕРСКИХ) ХОЗЯЙСТВАХ И ИНДИВИДУАЛЬНЫХ ПРЕДПРИНИМАТЕЛЕЙ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016434/meta.csv,csv
7708234640-totaloutignoreducation1819th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: всего без указавших уровень образования, 18-19 лет",https://rosstat.gov.ru/opendata/7708234640-totaloutignoreducation1819th/meta.csv,csv
7708234640-mpn2015714,"Число лиц;Отсутствие в помещении: Присутствующие и отсутствующие в помещении менее одного года;Л8.1 Образование: Итого;Л3 Число исполнившихся лет: 16 – 29 лет",https://rosstat.gov.ru/opendata/7708234640-mpn2015714/meta.csv,csv
7708234640-VSHP201667,"ГРУППИРОВКА КРЕСТЬЯНСКИХ (ФЕРМЕРСКИХ) ХОЗЯЙСТВ И ИНДИВИДУАЛЬНЫХ ПРЕДПРИНИМАТЕЛЕЙ ПО РАЗМЕРАМ ПОСЕВНОЙ ПЛОЩАДИ САХАРНОЙ СВЕКЛЫ ПОД УРОЖАЙ 2016 ГОДА",https://rosstat.gov.ru/opendata/7708234640-VSHP201667/meta.csv,csv
7708234640-VSHP2016143,"ЧИСЛО СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЙ, НЕ ОТНОСЯЩИХСЯ К СУБЪЕКТАМ МАЛОГО ПРЕДПРИНИМАТЕЛЬСТВА, ОСУЩЕСТВЛЯВШИХ РАЗЛИЧНЫЕ ВИДЫ СЕЛЬСКОХОЗЯЙСТВЕННОЙ ДЕЯТЕЛЬНОСТИ В I ПОЛУГОДИИ 2016 ГОДА",https://rosstat.gov.ru/opendata/7708234640-VSHP2016143/meta.csv,csv
7708234640-childrendontvisitschool,"Численность детей 0-9 лет, указавших посещение дошкольных или общеобразовательных учреждений, не посещающих этих учреждений  (по данным ВПН-2010)",https://rosstat.gov.ru/opendata/7708234640-childrendontvisitschool/meta.csv,csv
7708234640-VSHP2016403,"ПОСЕВНАЯ ПЛОЩАДЬ ГРЕЧИХИ, ЗАСЕЯННАЯ ЭЛИТНЫМИ СЕМЕНАМИ ПОД УРОЖАЙ 2016 ГОДА В СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЯХ, КРЕСТЬЯНСКИХ (ФЕРМЕРСКИХ) ХОЗЯЙСТВАХ И У ИНДИВИДУАЛЬНЫХ ПРЕДПРИНИМАТЕЛЕЙ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016403/meta.csv,csv
7708234640-VSHP2016136,"РАСПРЕДЕЛЕНИЕ ЛИЧНЫХ ПОДСОБНЫХ И ДРУГИХ ИНДИВИДУАЛЬНЫХ ХОЗЯЙСТВ ГРАЖДАН, ПОЛЬЗОВАВШИХСЯ УСЛУГАМИ ОРГАНИЗАЦИЙ И ФИЗИЧЕСКИХ ЛИЦ ДЛЯ ВЕДЕНИЯ СЕЛЬСКОХОЗЯЙСТВЕННОЙ ДЕЯТЕЛЬНОСТИ В 2015 - 2016 Г.Г., ПО ВИДАМ УСЛУГ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016136/meta.csv,csv
7708234640-ca1502051,"Реестр вакансий Территориального органа Федеральной службы государственной статистики по Кировской области",https://rosstat.gov.ru/opendata/7708234640-ca1502051/meta.csv,csv
7708234640-mpn2015106,"Население в процентах к итогу по возрасту;Отсутствие в помещении: Присутствующие и отсутствующие в помещении менее одного года;Л3 Число исполнившихся лет: 18 - 19",https://rosstat.gov.ru/opendata/7708234640-mpn2015106/meta.csv,csv
7708234640-financialreportniistat2019,"Отчет о результатах исполнения Федеральным государственным бюджетным учреждением «Научно-исследовательский институт проблем социально-экономической статистики Федеральной службы государственной статистики» (НИИ статистики Росстата) плана его финансово-хозяйственной деятельности в 2019 году",https://rosstat.gov.ru/opendata/7708234640-financialreportniistat2019/meta.csv,csv
7708234640-ca1502074,"Реестр вакансий Территориального органа Федеральной службы государственной статистики по Свердловской области",https://rosstat.gov.ru/opendata/7708234640-ca1502074/meta.csv,csv
7708234640-VSHP2016213,"СРЕДНЕГОДОВАЯ ЧИСЛЕННОСТЬ ВСЕХ РАБОТНИКОВ  КРЕСТЬЯНСКИХ (ФЕРМЕРСКИХ) ХОЗЯЙСТВ И ИНДИВИДУАЛЬНЫХ ПРЕДПРИНИМАТЕЛЕЙ В 2015 ГОДУ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016213/meta.csv,csv
7708234640-VSHP2016467,"СТРУКТУРА ПОСЕВНОЙ ПЛОЩАДИ ПРОСА ПОД УРОЖАЙ 2016 ГОДА ПО КАТЕГОРИЯМ ХОЗЯЙСТВ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016467/meta.csv,csv
7708234640-ca1502069,"Реестр вакансий Территориального органа Федеральной службы государственной статистики по Рязанской области",https://rosstat.gov.ru/opendata/7708234640-ca1502069/meta.csv,csv
7708234640-widow4044th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: вдовец,вдова, 40-44 года",https://rosstat.gov.ru/opendata/7708234640-widow4044th/meta.csv,csv
7708234640-VSHP2016538,"ПОГОЛОВЬЕ СТРАУСОВ В ХОЗЯЙСТВАХ ВСЕХ КАТЕГОРИЙ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016538/meta.csv,csv
7708234640-noeducation67th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: не имею образования, 6-7 лет",https://rosstat.gov.ru/opendata/7708234640-noeducation67th/meta.csv,csv
7708234640-VSHP2016419,"ОБЩАЯ ИСПОЛЬЗУЕМАЯ В 2016 ГОДУ ПЛОЩАДЬ ЗИМНИХ, ВЕСЕННИХ ТЕПЛИЦ И ПАРНИКОВ В  СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЯХ, КРЕСТЬЯНСКИХ (ФЕРМЕРСКИХ) ХОЗЯЙСТВАХ И У ИНДИВИДУАЛЬНЫХ ПРЕДПРИНИМАТЕЛЕЙ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016419/meta.csv,csv
7708234640-graduate4044th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: послевузовское профессиональное, 40-44 года",https://rosstat.gov.ru/opendata/7708234640-graduate4044th/meta.csv,csv
7708234640-haveelementaryeducation,"Численность населения, имеющего начальное общее образование (по данным ВПН-2010)",https://rosstat.gov.ru/opendata/7708234640-haveelementaryeducation/meta.csv,csv
7708234640-percentagepersextotal,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: население в процентах к итогу по полу, общий итог",https://rosstat.gov.ru/opendata/7708234640-percentagepersextotal/meta.csv,csv
7708234640-VSHP2016198,"СТРУКТУРА ЧИСЛЕННОСТИ РУКОВОДИТЕЛЕЙ СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЙ, НЕ ОТНОСЯЩИХСЯ К СУБЪЕКТАМ МАЛОГО ПРЕДПРИНИМАТЕЛЬСТВА, ПО СТАЖУ РАБОТЫ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016198/meta.csv,csv
7708234640-VSHP2016356,"ПОСЕВНАЯ ПЛОЩАДЬ ОВОЩНЫХ И БАХЧЕВЫХ КУЛЬТУР ПОД УРОЖАЙ 2016 ГОДА В ХОЗЯЙСТВАХ НАСЕЛЕНИЯ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016356/meta.csv,csv
7708234640-VSHP2016489,"СТРУКТУРА ПОСЕВНОЙ ПЛОЩАДИ КОРМОВЫХ КУЛЬТУР НА СИЛОС (БЕЗ КУКУРУЗЫ) ПОД УРОЖАЙ 2016 ГОДА ПО КАТЕГОРИЯМ ХОЗЯЙСТВ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016489/meta.csv,csv
7708234640-VSHP2016370,"ПОСЕВНАЯ ПЛОЩАДЬ ТЫКВЫ СТОЛОВОЙ (ОТКРЫТОГО ГРУНТА) ПОД УРОЖАЙ 2016 ГОДА В ХОЗЯЙСТВАХ НАСЕЛЕНИЯ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016370/meta.csv,csv
7708234640-VSHP2016524,"ПОГОЛОВЬЕ ОВЕЦ В ХОЗЯЙСТВАХ ВСЕХ КАТЕГОРИЙ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016524/meta.csv,csv
7708234640-school3539th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: начальное общее (начальное), 35-39 лет",https://rosstat.gov.ru/opendata/7708234640-school3539th/meta.csv,csv
7708234640-noeducation7074th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: не имею образования, 70–74 года",https://rosstat.gov.ru/opendata/7708234640-noeducation7074th/meta.csv,csv
7708234640-VSHP2016410,"ПОСЕВНАЯ ПЛОЩАДЬ САХАРНОЙ СВЕКЛЫ, ЗАСЕЯННАЯ ЭЛИТНЫМИ СЕМЕНАМИ ПОД УРОЖАЙ 2016 ГОДА В СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЯХ, КРЕСТЬЯНСКИХ (ФЕРМЕРСКИХ) ХОЗЯЙСТВАХ И У ИНДИВИДУАЛЬНЫХ ПРЕДПРИНИМАТЕЛЕЙ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016410/meta.csv,csv
7708234640-VSHP201672,"ИСПОЛЬЗОВАНИЕ ПЛОЩАДИ ТЕПЛИЦ В СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЯХ, КРЕСТЬЯНСКИХ (ФЕРМЕРСКИХ) ХОЗЯЙСТВАХ И У ИНДИВИДУАЛЬНЫХ ПРЕДПРИНИМАТЕЛЕЙ",https://rosstat.gov.ru/opendata/7708234640-VSHP201672/meta.csv,csv
7708234640-VSHP2016190,"РАСПРЕДЕЛЕНИЕ ЧИСЛЕННОСТИ РУКОВОДИТЕЛЕЙ МАЛЫХ СЕЛЬСКОХОЗЯЙСТВЕННЫХ ПРЕДПРИЯТИЙ1) ПО УРОВНЮ ОБРАЗОВАНИЯ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016190/meta.csv,csv
7708234640-VSHP2016-35,"СТРУКТУРА СЕЛЬСКОХОЗЯЙСТВЕННЫХ УГОДИЙ В ЛИЧНЫХ ПОДСОБНЫХ И ДРУГИХ ИНДИВИДУАЛЬНЫХ ХОЗЯЙСТВАХ ГРАЖДАН",https://rosstat.gov.ru/opendata/7708234640-VSHP2016-35/meta.csv,csv
7708234640-budgetexecution2014,"(Архив) Сведения об использовании Федеральной службой государственной статистики и ее территориальными органами выделенных на 2014 год бюджетных средств (по состоянию на 1 января 2015 года)",https://rosstat.gov.ru/opendata/7708234640-budgetexecution2014/meta.csv,csv
7708234640-totaloutignoreducation6569th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: всего без указавших уровень образования, 65-69 лет",https://rosstat.gov.ru/opendata/7708234640-totaloutignoreducation6569th/meta.csv,csv
7708234640-VSHP2016319,"ПОСЕВНАЯ ПЛОЩАДЬ ПОМИДОРОВ (ОТКРЫТОГО ГРУНТА) ПОД УРОЖАЙ 2016 ГОДА В ХОЗЯЙСТВАХ ВСЕХ КАТЕГОРИЙ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016319/meta.csv,csv
7708234640-VSHP2016465,"СТРУКТУРА ПОСЕВНОЙ ПЛОЩАДИ ОВСА ПОД УРОЖАЙ 2016 ГОДА ПО КАТЕГОРИЯМ ХОЗЯЙСТВ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016465/meta.csv,csv
7708234640-mpn2015571,"Число лиц;Отсутствие в помещении: Присутствующие и отсутствующие в помещении менее одного года;Л8.1 Образование: Всего без неуказавших;Л3 Число исполнившихся лет: 75 – 79",https://rosstat.gov.ru/opendata/7708234640-mpn2015571/meta.csv,csv
7708234640-ca1502033,"Реестр вакансий Территориального органа Федеральной службы государственной статистики по Пермскому краю",https://rosstat.gov.ru/opendata/7708234640-ca1502033/meta.csv,csv
7708234640-mpn2015574,"Число лиц;Отсутствие в помещении: Присутствующие и отсутствующие в помещении менее одного года;Л8.1 Образование: магистр (ВПН-2010);Л3 Число исполнившихся лет: 75 – 79",https://rosstat.gov.ru/opendata/7708234640-mpn2015574/meta.csv,csv
7708234640-VSHP2016488,"СТРУКТУРА ПОСЕВНОЙ ПЛОЩАДИ ТРАВ МНОГОЛЕТНИХ ПОД УРОЖАЙ 2016 ГОДА ПО КАТЕГОРИЯМ ХОЗЯЙСТВ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016488/meta.csv,csv
7708234640-VSHP2016209,"СТРУКТУРА ЧИСЛЕННОСТИ ПОСТОЯННЫХ РАБОТНИКОВ СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЙ1) ПО УРОВНЮ ОБРАЗОВАНИЯ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016209/meta.csv,csv
7708234640-VSHP2016446,"ПЛОЩАДИ МНОГОЛЕТНИХ СЕМЕЧКОВЫХ ПЛОДОВЫХ НАСАЖДЕНИЙ ПО ВИДАМ В ХОЗЯЙСТВАХ НАСЕЛЕНИЯ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016446/meta.csv,csv
7708234640-mpn2015118,"Население в процентах к итогу по возрасту;Отсутствие в помещении: Присутствующие и отсутствующие в помещении менее одного года;Л3 Число исполнившихся лет: 18-72",https://rosstat.gov.ru/opendata/7708234640-mpn2015118/meta.csv,csv
7708234640-magister05th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: магистр (ВПН-2010), 0-5 лет",https://rosstat.gov.ru/opendata/7708234640-magister05th/meta.csv,csv
7708234640-unlettered2529th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: не имеющие начального общего образования - не умеющие читать и писать (неграмотные), 25-29 лет",https://rosstat.gov.ru/opendata/7708234640-unlettered2529th/meta.csv,csv
7708234640-ca1502041,"Реестр вакансий Территориального органа Федеральной службы государственной статистики по Брянской области",https://rosstat.gov.ru/opendata/7708234640-ca1502041/meta.csv,csv
7708234640-school2024th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: начальное общее (начальное), 20-24 года",https://rosstat.gov.ru/opendata/7708234640-school2024th/meta.csv,csv
7708234640-mpn2015568,"Число лиц;Отсутствие в помещении: Присутствующие и отсутствующие в помещении менее одного года;Л8.1 Образование: не имеющие начального общего образования - не умеющие читать и писать (неграмотные);Л3 Число исполнившихся лет: 70 – 74",https://rosstat.gov.ru/opendata/7708234640-mpn2015568/meta.csv,csv
7708234640-VSHP2016285,"ПОСЕВНАЯ ПЛОЩАДЬ ЯЧМЕНЯ ПИВОВАРЕННОГО ПОД УРОЖАЙ 2016 ГОДА В ХОЗЯЙСТВАХ ВСЕХ КАТЕГОРИЙ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016285/meta.csv,csv
7708234640-VSHP2016320,"ПОСЕВНАЯ ПЛОЩАДЬ СВЕКЛЫ СТОЛОВОЙ (ОТКРЫТОГО ГРУНТА) ПОД УРОЖАЙ 2016 ГОДА В ХОЗЯЙСТВАХ ВСЕХ КАТЕГОРИЙ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016320/meta.csv,csv
7708234640-7708234640-indicatorsprograms-2020,"Сведения о показателях (индикаторах) подпрограммы «Официальная статистика»  государственной программы «Экономическое развитие и инновационная экономика»",https://rosstat.gov.ru/opendata/7708234640-7708234640-indicatorsprograms-2020/meta.csv,csv
7708234640-childgarden7074th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: дошкольное (для детей в возрасте 6-9 лет), 70–74 года",https://rosstat.gov.ru/opendata/7708234640-childgarden7074th/meta.csv,csv
7708234640-VSHP2016125,"ЧИСЛО СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЙ, КРЕСТЬЯНСКИХ (ФЕРМЕРСКИХ) ХОЗЯЙСТВ И ИНДИВИДУАЛЬНЫХ ПРЕДПРИНИМАТЕЛЕЙ, ИМЕВШИХ ТЕПЛИЦЫ И ПАРНИКИ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016125/meta.csv,csv
7708234640-VSHP2016215,"ЧИСЛЕННОСТЬ РАБОТНИКОВ КРЕСТЬЯНСКИХ (ФЕРМЕРСКИХ) ХОЗЯЙСТВ И ИНДИВИДУАЛЬНЫХ ПРЕДПРИНИМАТЕЛЕЙ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016215/meta.csv,csv
7708234640-magister3034th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: магистр (ВПН-2010), 30-34 года",https://rosstat.gov.ru/opendata/7708234640-magister3034th/meta.csv,csv
7708234640-4livelihood,"Численность населения, указавшего четыре и более источника средств к существованию (по данным ВПН-2010)",https://rosstat.gov.ru/opendata/7708234640-4livelihood/meta.csv,csv
7708234640-VSHP201690,"УДЕЛЬНЫЙ ВЕС ПОГОЛОВЬЯ ПЛЕМЕННЫХ СЕЛЬСКОХОЗЯЙСТВЕННЫХ ЖИВОТНЫХ ПО КАТЕГОРИЯМ ХОЗЯЙСТВ",https://rosstat.gov.ru/opendata/7708234640-VSHP201690/meta.csv,csv
7708234640-VSHP2016228,"РАСПРЕДЕЛЕНИЕ ЛИЧНЫХ ПОДСОБНЫХ И ДРУГИХ ИНДИВИДУАЛЬНЫХ ХОЗЯЙСТВ ГРАЖДАН В ГОРОДСКИХ ОКРУГАХ И В ГОРОДСКИХ ПОСЕЛЕНИЯХ ПО ЧИСЛЕННОСТИ ЛИЦ, ЗАНЯТЫХ ВЫПОЛНЕНИЕМ СЕЛЬСКОХОЗЯЙСТВЕННЫХ РАБОТ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016228/meta.csv,csv
7708234640-reportsrosstat-2019,"Отчеты и доклады о деятельности Росстата",https://rosstat.gov.ru/opendata/7708234640-reportsrosstat-2019/meta.csv,csv
7708234640-VSHP2016180,"ЧИСЛЕННОСТЬ РАБОТНИКОВ МАЛЫХ СЕЛЬСКОХОЗЯЙСТВЕННЫХ ПРЕДПРИЯТИЙ1)",https://rosstat.gov.ru/opendata/7708234640-VSHP2016180/meta.csv,csv
7708234640-VSHP2016163,"ЧИСЛО НЕКОММЕРЧЕСКИХ ОБЪЕДИНЕНИЙ ГРАЖДАН",https://rosstat.gov.ru/opendata/7708234640-VSHP2016163/meta.csv,csv
7708234640-mpn2015738,"Число лиц;Отсутствие в помещении: Присутствующие и отсутствующие в помещении менее одного года;Л8.1 Образование: бакалавр (ВПН-2010);Л3 Число исполнившихся лет: 15 – 72 лет",https://rosstat.gov.ru/opendata/7708234640-mpn2015738/meta.csv,csv
7708234640-total1819th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: общий итог, 18-19 лет",https://rosstat.gov.ru/opendata/7708234640-total1819th/meta.csv,csv
7708234640-unlettered1014th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: не имеющие начального общего образования - не умеющие читать и писать (неграмотные), 10-14 лет",https://rosstat.gov.ru/opendata/7708234640-unlettered1014th/meta.csv,csv
7708234640-magister1014th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: магистр (ВПН-2010), 10-14 лет",https://rosstat.gov.ru/opendata/7708234640-magister1014th/meta.csv,csv
7708234640-graduate6plus,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: послевузовское профессиональное, 6 лет и старше",https://rosstat.gov.ru/opendata/7708234640-graduate6plus/meta.csv,csv
