Год;Квартал;Федеральный округ;Регион;Категория ТСР;Количество инвалидов, обеспеченных ТСР и услугами, чел.;Количество ТСР и услуг, которыми обеспечены инвалиды, шт.;Расходы на обеспечение инвалидов ТСР и услугами, млн. руб.;
2015;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);Специальные средства при нарушениях функций выделения (моче- и калоприемники);116,0;26382,0;2,93;
2015;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);Специальные устройства для чтения "говорящих книг", для оптической коррекции слабовидения;75,0;100,0;1,82;
2015;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);Телевизоры с телетекстом для приема программ со скрытыми субтитрами;2,0;2,0;0,03;
2015;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);Телефонные устройства с текстовым выходом;60,0;60,0;0,13;
2015;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);Трости опорные и тактильные, костыли, опоры, поручни;12,0;15,0;0,01;
2015;1;Дальневосточный Федеральный округ;Сахалинская область;Абсорбирующее белье, подгузники;101,0;19763,0;0,41;
2015;1;Дальневосточный Федеральный округ;Сахалинская область;Кресла-коляски с ручным приводом (комнатные, прогулочные, активного типа), с электроприводом, малогабаритные;5,0;5,0;0,04;
2015;1;Дальневосточный Федеральный округ;Сахалинская область;Кресло-стулья с санитарным оснащением;1,0;1,0;0,0;
2015;1;Дальневосточный Федеральный округ;Сахалинская область;Медицинские термометры и тонометры с речевым выходом;1,0;1,0;0,0;
2015;1;Дальневосточный Федеральный округ;Сахалинская область;Ортопедическая обувь;29,0;102,0;0,24;
2015;1;Дальневосточный Федеральный округ;Сахалинская область;Почтовые услуги;33,0;51,0;0,01;
2015;1;Дальневосточный Федеральный округ;Сахалинская область;Проезд;5,0;18,0;0,03;
2015;1;Дальневосточный Федеральный округ;Сахалинская область;Протезы, в том числе эндопротезы, и ортезы;84,0;203,0;2,72;
2015;1;Дальневосточный Федеральный округ;Сахалинская область;Противопролежневые матрацы и подушки;1,0;1,0;0,0;
2015;1;Дальневосточный Федеральный округ;Сахалинская область;Ремонт ТСР и ПОИ;2,0;2,0;0,03;
2015;1;Дальневосточный Федеральный округ;Сахалинская область;Слуховые аппараты, в том числе с ушными вкладышами индивидуального изготовления;20,0;34,0;0,67;
2015;1;Дальневосточный Федеральный округ;Сахалинская область;Специальные средства при нарушениях функций выделения (моче- и калоприемники);2,0;70,0;0,0;
2015;1;Дальневосточный Федеральный округ;Сахалинская область;Трости опорные и тактильные, костыли, опоры, поручни;78,0;86,0;0,07;
2015;1;Дальневосточный Федеральный округ;Хабаровский край;Абсорбирующее белье, подгузники;139,0;21612,0;0,33;
2015;1;Дальневосточный Федеральный округ;Хабаровский край;Кресла-коляски с ручным приводом (комнатные, прогулочные, активного типа), с электроприводом, малогабаритные;3,0;3,0;0,03;
2015;1;Дальневосточный Федеральный округ;Хабаровский край;Кресло-стулья с санитарным оснащением;1,0;1,0;0,0;
2015;1;Дальневосточный Федеральный округ;Хабаровский край;Медицинские термометры и тонометры с речевым выходом;1,0;1,0;0,0;
2015;1;Дальневосточный Федеральный округ;Хабаровский край;Ортопедическая обувь;136,0;354,0;1,3;
2015;1;Дальневосточный Федеральный округ;Хабаровский край;Почтовые услуги;63,0;65,0;0,02;
2015;1;Дальневосточный Федеральный округ;Хабаровский край;Предоставление услуг по сурдопереводу;7,0;12,0;0,0;
2015;1;Дальневосточный Федеральный округ;Хабаровский край;Проезд;1,0;2,0;0,01;
2015;1;Дальневосточный Федеральный округ;Хабаровский край;Протезы, в том числе эндопротезы, и ортезы;381,0;714,0;12,95;
2015;1;Дальневосточный Федеральный округ;Хабаровский край;Противопролежневые матрацы и подушки;1,0;1,0;0,0;
2015;1;Дальневосточный Федеральный округ;Хабаровский край;Ремонт ТСР и ПОИ;36,0;66,0;0,5;
2015;1;Дальневосточный Федеральный округ;Хабаровский край;Слуховые аппараты, в том числе с ушными вкладышами индивидуального изготовления;39,0;50,0;0,83;
2015;1;Дальневосточный Федеральный округ;Хабаровский край;Специальные средства при нарушениях функций выделения (моче- и калоприемники);18,0;658,0;0,05;
2015;1;Дальневосточный Федеральный округ;Хабаровский край;Трости опорные и тактильные, костыли, опоры, поручни;4,0;6,0;0,01;
2015;1;Дальневосточный Федеральный округ;Чукотский автономный округ;Абсорбирующее белье, подгузники;15,0;4717,0;0,18;
2015;1;Дальневосточный Федеральный округ;Чукотский автономный округ;Ортопедическая обувь;1,0;6,0;0,02;
2015;1;Дальневосточный Федеральный округ;Чукотский автономный округ;Протезы, в том числе эндопротезы, и ортезы;5,0;12,0;0,02;
2015;1;Дальневосточный Федеральный округ;Чукотский автономный округ;Специальные средства при нарушениях функций выделения (моче- и калоприемники);2,0;400,0;0,06;
2015;1;Дальневосточный Федеральный округ;Чукотский автономный округ;Трости опорные и тактильные, костыли, опоры, поручни;4,0;4,0;0,0;
2015;1;Приволжский Федеральный округ;Кировская область;Абсорбирующее белье, подгузники;4956,0;861015,0;13,57;
2015;1;Приволжский Федеральный округ;Кировская область;Кресла-коляски с ручным приводом (комнатные, прогулочные, активного типа), с электроприводом, малогабаритные;2,0;2,0;0,03;
2015;1;Приволжский Федеральный округ;Кировская область;Кресло-стулья с санитарным оснащением;1,0;1,0;0,0;
2015;1;Приволжский Федеральный округ;Кировская область;Ортопедическая обувь;728,0;1780,0;6,43;
2015;1;Приволжский Федеральный округ;Кировская область;Почтовые услуги;186,0;215,0;0,03;
2015;1;Приволжский Федеральный округ;Кировская область;Предоставление услуг по сурдопереводу;88,0;283,0;0,1;
2015;1;Приволжский Федеральный округ;Кировская область;Проезд;6,0;13,0;0,01;
2015;1;Приволжский Федеральный округ;Кировская область;Протезы, в том числе эндопротезы, и ортезы;1199,0;2023,0;10,5;
2015;1;Приволжский Федеральный округ;Кировская область;Противопролежневые матрацы и подушки;8,0;6,0;0,01;
2015;1;Приволжский Федеральный округ;Кировская область;Ремонт ТСР и ПОИ;9,0;9,0;0,31;
2015;1;Приволжский Федеральный округ;Кировская область;Слуховые аппараты, в том числе с ушными вкладышами индивидуального изготовления;48,0;76,0;0,32;
2015;1;Приволжский Федеральный округ;Кировская область;Содержание и ветеринарное обслуживание собак-проводников (путем выплаты ежегодной денежной компенсации);1,0;1,0;0,02;
2015;1;Приволжский Федеральный округ;Кировская область;Специальная одежда;1,0;2,0;0,0;
2015;1;Приволжский Федеральный округ;Кировская область;Специальные средства при нарушениях функций выделения (моче- и калоприемники);559,0;40063,0;2,09;
2015;1;Приволжский Федеральный округ;Кировская область;Специальные устройства для чтения "говорящих книг", для оптической коррекции слабовидения;1,0;1,0;0,0;
2015;1;Приволжский Федеральный округ;Кировская область;Специальные устройства для чтения "говорящих книг", для оптической коррекции слабовидения;1,0;1,0;0,0;
2015;1;Приволжский Федеральный округ;Кировская область;Трости опорные и тактильные, костыли, опоры, поручни;10,0;11,0;0,02;
2015;1;Приволжский Федеральный округ;Нижегородская область;Абсорбирующее белье, подгузники;2320,0;532260,0;8,54;
2015;1;Приволжский Федеральный округ;Нижегородская область;Голосообразующие аппараты;2,0;2,0;0,02;
2015;1;Приволжский Федеральный округ;Нижегородская область;Кресла-коляски с ручным приводом (комнатные, прогулочные, активного типа), с электроприводом, малогабаритные;6,0;6,0;0,15;
2015;1;Приволжский Федеральный округ;Нижегородская область;Кресло-стулья с санитарным оснащением;4,0;4,0;0,01;
2015;1;Приволжский Федеральный округ;Нижегородская область;Ортопедическая обувь;217,0;1034,0;3,7;
2015;1;Приволжский Федеральный округ;Нижегородская область;Почтовые услуги;291,0;532,0;0,03;
2015;1;Приволжский Федеральный округ;Нижегородская область;Предоставление услуг по сурдопереводу;51,0;564,0;0,2;
2015;1;Приволжский Федеральный округ;Нижегородская область;Проезд;3,0;4,0;0,0;
2015;1;Приволжский Федеральный округ;Нижегородская область;Протезы, в том числе эндопротезы, и ортезы;711,0;1393,0;29,24;
2015;1;Приволжский Федеральный округ;Нижегородская область;Противопролежневые матрацы и подушки;178,0;178,0;0,74;
2015;1;Приволжский Федеральный округ;Нижегородская область;Ремонт ТСР и ПОИ;10,0;10,0;0,25;
2015;1;Приволжский Федеральный округ;Нижегородская область;Слуховые аппараты, в том числе с ушными вкладышами индивидуального изготовления;78,0;105,0;0,82;
2015;1;Приволжский Федеральный округ;Нижегородская область;Содержание и ветеринарное обслуживание собак-проводников (путем выплаты ежегодной денежной компенсации);1,0;1,0;0,02;
2015;1;Приволжский Федеральный округ;Нижегородская область;Специальные средства при нарушениях функций выделения (моче- и калоприемники);582,0;61035,0;1,41;
2015;1;Приволжский Федеральный округ;Нижегородская область;Специальные устройства для чтения "говорящих книг", для оптической коррекции слабовидения;1,0;1,0;0,01;
2015;1;Приволжский Федеральный округ;Нижегородская область;Трости опорные и тактильные, костыли, опоры, поручни;289,0;528,0;0,3;
2015;1;Приволжский Федеральный округ;Оренбургская область;Абсорбирующее белье, подгузники;3742,0;697907,0;14,38;
2015;1;Приволжский Федеральный округ;Оренбургская область;Голосообразующие аппараты;1,0;1,0;0,01;
2015;1;Приволжский Федеральный округ;Оренбургская область;Кресла-коляски с ручным приводом (комнатные, прогулочные, активного типа), с электроприводом, малогабаритные;80,0;84,0;2,01;
2015;1;Приволжский Федеральный округ;Оренбургская область;Кресло-стулья с санитарным оснащением;33,0;33,0;0,09;
2015;1;Приволжский Федеральный округ;Оренбургская область;Медицинские термометры и тонометры с речевым выходом;2,0;2,0;0,0;
2015;1;Приволжский Федеральный округ;Оренбургская область;Ортопедическая обувь;185,0;586,0;2,11;
2015;1;Приволжский Федеральный округ;Оренбургская область;Почтовые услуги;347,0;465,0;0,07;
2015;1;Приволжский Федеральный округ;Оренбургская область;Предоставление услуг по сурдопереводу;180,0;1680,0;0,54;
2015;1;Приволжский Федеральный округ;Оренбургская область;Проезд;37,0;86,0;0,07;
2015;1;Приволжский Федеральный округ;Оренбургская область;Протезы, в том числе эндопротезы, и ортезы;417,0;1122,0;6,92;
2015;1;Приволжский Федеральный округ;Оренбургская область;Противопролежневые матрацы и подушки;236,0;237,0;0,34;
2015;1;Приволжский Федеральный округ;Оренбургская область;Ремонт ТСР и ПОИ;3,0;3,0;0,01;
2015;1;Приволжский Федеральный округ;Оренбургская область;Слуховые аппараты, в том числе с ушными вкладышами индивидуального изготовления;217,0;247,0;1,28;
2015;1;Приволжский Федеральный округ;Оренбургская область;Содержание и ветеринарное обслуживание собак-проводников (путем выплаты ежегодной денежной компенсации);2,0;2,0;0,04;
2015;1;Приволжский Федеральный округ;Оренбургская область;Специальные средства при нарушениях функций выделения (моче- и калоприемники);523,0;84881,0;4,62;
2015;1;Приволжский Федеральный округ;Оренбургская область;Специальные устройства для чтения "говорящих книг", для оптической коррекции слабовидения;10,0;10,0;0,23;
2015;1;Приволжский Федеральный округ;Оренбургская область;Телевизоры с телетекстом для приема программ со скрытыми субтитрами;1,0;1,0;0,01;
2015;1;Приволжский Федеральный округ;Оренбургская область;Телефонные устройства с текстовым выходом;2,0;2,0;0,0;
2015;1;Приволжский Федеральный округ;Оренбургская область;Трости опорные и тактильные, костыли, опоры, поручни;405,0;533,0;0,34;
2015;1;Приволжский Федеральный округ;Пензенская область;Абсорбирующее белье, подгузники;2298,0;798375,0;14,87;
2015;1;Приволжский Федеральный округ;Пензенская область;Голосообразующие аппараты;1,0;1,0;0,01;
2015;1;Приволжский Федеральный округ;Пензенская область;Кресла-коляски с ручным приводом (комнатные, прогулочные, активного типа), с электроприводом, малогабаритные;7,0;7,0;0,11;
2015;1;Приволжский Федеральный округ;Пензенская область;Кресло-стулья с санитарным оснащением;83,0;83,0;0,16;
2015;1;Приволжский Федеральный округ;Пензенская область;Ортопедическая обувь;314,0;872,0;2,54;
2015;1;Приволжский Федеральный округ;Пензенская область;Почтовые услуги;1,0;1,0;0,0;
2015;1;Приволжский Федеральный округ;Пензенская область;Предоставление услуг по сурдопереводу;171,0;959,5;0,35;
2015;1;Приволжский Федеральный округ;Пензенская область;Протезы, в том числе эндопротезы, и ортезы;418,0;936,0;11,15;
2015;1;Приволжский Федеральный округ;Пензенская область;Противопролежневые матрацы и подушки;85,0;88,0;0,17;
2015;1;Приволжский Федеральный округ;Пензенская область;Ремонт ТСР и ПОИ;1,0;1,0;0,0;
2015;1;Приволжский Федеральный округ;Пензенская область;Слуховые аппараты, в том числе с ушными вкладышами индивидуального изготовления;126,0;193,0;2,26;
2015;1;Приволжский Федеральный округ;Пензенская область;Содержание и ветеринарное обслуживание собак-проводников (путем выплаты ежегодной денежной компенсации);1,0;1,0;0,02;
2015;1;Приволжский Федеральный округ;Пензенская область;Специальные средства при нарушениях функций выделения (моче- и калоприемники);541,0;84849,0;5,72;
2015;1;Приволжский Федеральный округ;Пензенская область;Специальные устройства для чтения "говорящих книг", для оптической коррекции слабовидения;1,0;1,0;0,01;
2015;1;Приволжский Федеральный округ;Пензенская область;Телевизоры с телетекстом для приема программ со скрытыми субтитрами;1,0;1,0;0,01;
2015;1;Приволжский Федеральный округ;Пензенская область;Трости опорные и тактильные, костыли, опоры, поручни;839,0;967,0;0,57;
2015;1;Приволжский Федеральный округ;Пермский край;Абсорбирующее белье, подгузники;5567,0;1581002,0;25,96;
2015;1;Приволжский Федеральный округ;Пермский край;Голосообразующие аппараты;2,0;2,0;0,03;
2015;1;Приволжский Федеральный округ;Пермский край;Голосообразующие аппараты;2,0;2,0;0,03;
2015;1;Приволжский Федеральный округ;Пермский край;Кресла-коляски с ручным приводом (комнатные, прогулочные, активного типа), с электроприводом, малогабаритные;3,0;3,0;0,03;
2015;1;Приволжский Федеральный округ;Пермский край;Кресло-стулья с санитарным оснащением;1,0;1,0;0,0;
2015;1;Приволжский Федеральный округ;Пермский край;Медицинские термометры и тонометры с речевым выходом;74,0;76,0;0,09;
2015;1;Приволжский Федеральный округ;Пермский край;Ортопедическая обувь;88,0;202,0;0,5;
2015;1;Приволжский Федеральный округ;Пермский край;Почтовые услуги;39,0;49,0;0,0;
2015;1;Приволжский Федеральный округ;Пермский край;Предоставление услуг по сурдопереводу;121,0;344,0;0,11;
2015;1;Приволжский Федеральный округ;Пермский край;Проезд;14,0;39,0;0,02;
2015;1;Приволжский Федеральный округ;Пермский край;Протезы, в том числе эндопротезы, и ортезы;380,0;742,0;5,25;
2015;1;Приволжский Федеральный округ;Пермский край;Противопролежневые матрацы и подушки;438,0;464,0;0,99;
2015;1;Приволжский Федеральный округ;Пермский край;Ремонт ТСР и ПОИ;2,0;2,0;0,05;
2015;1;Приволжский Федеральный округ;Пермский край;Слуховые аппараты, в том числе с ушными вкладышами индивидуального изготовления;34,0;57,0;0,31;
2015;1;Приволжский Федеральный округ;Пермский край;Собаки-проводники с комплектом снаряжения;1,0;1,0;0,1;
2015;1;Приволжский Федеральный округ;Пермский край;Содержание и ветеринарное обслуживание собак-проводников (путем выплаты ежегодной денежной компенсации);4,0;4,0;0,08;
2015;1;Приволжский Федеральный округ;Пермский край;Специальные средства при нарушениях функций выделения (моче- и калоприемники);285,0;18635,0;0,57;
2015;1;Приволжский Федеральный округ;Пермский край;Специальные устройства для чтения "говорящих книг", для оптической коррекции слабовидения;259,0;357,0;6,53;
2015;1;Приволжский Федеральный округ;Пермский край;Трости опорные и тактильные, костыли, опоры, поручни;12,0;17,0;0,01;
2015;1;Приволжский Федеральный округ;Республика Башкортостан;Абсорбирующее белье, подгузники;2589,0;598458,0;12,04;
2015;1;Приволжский Федеральный округ;Республика Башкортостан;Голосообразующие аппараты;5,0;5,0;0,07;
2015;1;Приволжский Федеральный округ;Республика Башкортостан;Кресла-коляски с ручным приводом (комнатные, прогулочные, активного типа), с электроприводом, малогабаритные;15,0;15,0;0,29;
2015;1;Приволжский Федеральный округ;Республика Башкортостан;Кресло-стулья с санитарным оснащением;2,0;2,0;0,0;
2015;1;Приволжский Федеральный округ;Республика Башкортостан;Ортопедическая обувь;803,0;1994,0;7,84;
2015;1;Приволжский Федеральный округ;Республика Башкортостан;Почтовые услуги;173,0;184,0;0,03;
2015;1;Приволжский Федеральный округ;Республика Башкортостан;Предоставление услуг по сурдопереводу;380,0;3848,0;1,48;
2015;1;Приволжский Федеральный округ;Республика Башкортостан;Проезд;10,0;19,0;0,01;
2015;1;Приволжский Федеральный округ;Республика Башкортостан;Протезы, в том числе эндопротезы, и ортезы;753,0;1374,0;25,36;
2015;1;Приволжский Федеральный округ;Республика Башкортостан;Противопролежневые матрацы и подушки;315,0;322,0;0,26;
2015;1;Приволжский Федеральный округ;Республика Башкортостан;Ремонт ТСР и ПОИ;3,0;3,0;0,03;
2015;1;Приволжский Федеральный округ;Республика Башкортостан;Слуховые аппараты, в том числе с ушными вкладышами индивидуального изготовления;100,0;171,0;0,62;
2015;1;Приволжский Федеральный округ;Республика Башкортостан;Содержание и ветеринарное обслуживание собак-проводников (путем выплаты ежегодной денежной компенсации);8,0;9,0;0,16;
2015;1;Приволжский Федеральный округ;Республика Башкортостан;Специальные средства при нарушениях функций выделения (моче- и калоприемники);990,0;121018,0;8,1;
2015;1;Приволжский Федеральный округ;Республика Башкортостан;Специальные устройства для чтения "говорящих книг", для оптической коррекции слабовидения;133,0;133,0;1,83;
2015;1;Приволжский Федеральный округ;Республика Башкортостан;Телефонные устройства с текстовым выходом;2,0;2,0;0,01;
2015;1;Приволжский Федеральный округ;Республика Башкортостан;Трости опорные и тактильные, костыли, опоры, поручни;793,0;819,0;1,24;
2015;1;Приволжский Федеральный округ;Республика Марий Эл;Абсорбирующее белье, подгузники;1438,0;375063,0;5,85;
2015;1;Приволжский Федеральный округ;Республика Марий Эл;Голосообразующие аппараты;1,0;1,0;0,01;
2015;1;Приволжский Федеральный округ;Республика Марий Эл;Кресла-коляски с ручным приводом (комнатные, прогулочные, активного типа), с электроприводом, малогабаритные;7,0;7,0;0,11;
2015;1;Приволжский Федеральный округ;Республика Марий Эл;Кресло-стулья с санитарным оснащением;3,0;3,0;0,01;
