Год;Месяц;Федеральный округ;Регион;Профиль лечения;Количество путевок на СКЛ, выданных ГЛК и сопровождающим лицам, шт.;Расходы на обеспечение ГЛК и сопровождающих лиц путевками на СКЛ, млн. руб.;
2015;10;Дальневосточный Федеральный округ;Хабаровский край;Общий;8,0;0,18;
2015;10;Дальневосточный Федеральный округ;Хабаровский край;Последствия травм спинного мозга;5,0;0,17;
2015;10;Дальневосточный Федеральный округ;Хабаровский край;Психоневрологические заболевания;18,0;0,41;
2015;10;Приволжский Федеральный округ;Республика Марий Эл;Болезни глаза;3,0;0,05;
2015;10;Приволжский Федеральный округ;Республика Марий Эл;Болезни нервной системы;3,0;0,05;
2015;10;Приволжский Федеральный округ;Республика Марий Эл;Болезни опорно-двигательного аппарата;16,0;0,29;
2015;10;Приволжский Федеральный округ;Республика Марий Эл;Болезни органов дыхания;2,0;0,04;
2015;10;Приволжский Федеральный округ;Республика Марий Эл;Болезни системы кровообращения;14,0;0,26;
2015;10;Приволжский Федеральный округ;Республика Марий Эл;Болезни эндокринной системы;3,0;0,07;
2015;10;Приволжский Федеральный округ;Республика Марий Эл;Многопрофильный;419,0;7,71;
2015;10;Приволжский Федеральный округ;Республика Марий Эл;Последствия травм спинного мозга;8,0;0,29;
2015;10;Приволжский Федеральный округ;Республика Мордовия;Болезни глаза;8,0;0,17;
2015;10;Приволжский Федеральный округ;Республика Мордовия;Болезни кожи и подкожной клетчатки;3,0;0,05;
2015;10;Приволжский Федеральный округ;Республика Мордовия;Болезни мочеполовой системы;1,0;0,02;
2015;10;Приволжский Федеральный округ;Республика Мордовия;Болезни нервной системы;76,0;1,39;
2015;10;Приволжский Федеральный округ;Республика Мордовия;Болезни опорно-двигательного аппарата;67,0;1,2;
2015;10;Приволжский Федеральный округ;Республика Мордовия;Болезни органов дыхания;36,0;0,57;
2015;10;Приволжский Федеральный округ;Республика Мордовия;Болезни органов пищеварения;7,0;0,13;
2015;10;Приволжский Федеральный округ;Республика Мордовия;Болезни системы кровообращения;173,0;2,93;
2015;10;Приволжский Федеральный округ;Республика Мордовия;Болезни уха;22,0;0,47;
2015;10;Приволжский Федеральный округ;Республика Мордовия;Болезни эндокринной системы;19,0;0,35;
2015;10;Приволжский Федеральный округ;Удмуртская республика;Болезни глаза;62,0;1,14;
2015;10;Приволжский Федеральный округ;Удмуртская республика;Болезни мочеполовой системы;12,0;0,22;
2015;10;Приволжский Федеральный округ;Удмуртская республика;Болезни нервной системы;101,0;1,82;
2015;10;Приволжский Федеральный округ;Удмуртская республика;Болезни опорно-двигательного аппарата;329,0;6,04;
2015;10;Приволжский Федеральный округ;Удмуртская республика;Болезни органов дыхания;26,0;0,48;
2015;10;Приволжский Федеральный округ;Удмуртская республика;Болезни органов пищеварения;103,0;1,87;
2015;10;Приволжский Федеральный округ;Удмуртская республика;Болезни системы кровообращения;622,0;11,39;
2015;10;Приволжский Федеральный округ;Удмуртская республика;Болезни уха;3,0;0,06;
2015;10;Приволжский Федеральный округ;Удмуртская республика;Болезни эндокринной системы;106,0;1,95;
2015;10;Приволжский Федеральный округ;Удмуртская республика;Многопрофильный;385,0;6,49;
2015;10;Приволжский Федеральный округ;Удмуртская республика;Общий;2,0;0,05;
2015;10;Приволжский Федеральный округ;Удмуртская республика;Последствия травм головного мозга;1,0;0,04;
2015;10;Приволжский Федеральный округ;Удмуртская республика;Последствия травм спинного мозга;19,0;0,84;
2015;10;Приволжский Федеральный округ;Чувашская республика;Болезни органов дыхания;26,0;0,48;
2015;10;Приволжский Федеральный округ;Чувашская республика;Многопрофильный;28,0;0,5;
2015;10;Северо-Западный Федеральный округ;Архангельская область;Болезни глаза;2,0;0,04;
2015;10;Северо-Западный Федеральный округ;Архангельская область;Болезни крови;2,0;0,04;
2015;10;Северо-Западный Федеральный округ;Архангельская область;Болезни нервной системы;8,0;0,15;
2015;10;Северо-Западный Федеральный округ;Архангельская область;Болезни опорно-двигательного аппарата;81,0;1,49;
2015;10;Северо-Западный Федеральный округ;Архангельская область;Болезни органов дыхания;56,0;1,03;
2015;10;Северо-Западный Федеральный округ;Архангельская область;Психоневрологические заболевания;8,0;0,17;
2015;10;Северо-Западный Федеральный округ;Республика Коми;Болезни глаза;41,0;0,8;
2015;10;Северо-Западный Федеральный округ;Республика Коми;Болезни кожи и подкожной клетчатки;3,0;0,06;
2015;10;Северо-Западный Федеральный округ;Республика Коми;Болезни мочеполовой системы;16,0;0,31;
2015;10;Северо-Западный Федеральный округ;Республика Коми;Болезни нервной системы;183,0;3,76;
2015;10;Северо-Западный Федеральный округ;Республика Коми;Болезни опорно-двигательного аппарата;354,0;7,33;
2015;10;Северо-Западный Федеральный округ;Республика Коми;Болезни органов дыхания;128,0;2,55;
2015;10;Северо-Западный Федеральный округ;Республика Коми;Болезни органов пищеварения;86,0;1,77;
2015;10;Северо-Западный Федеральный округ;Республика Коми;Болезни системы кровообращения;594,0;11,8;
2015;10;Северо-Западный Федеральный округ;Республика Коми;Болезни уха;9,0;0,16;
2015;10;Северо-Западный Федеральный округ;Республика Коми;Болезни эндокринной системы;45,0;0,94;
2015;10;Северо-Западный Федеральный округ;Республика Коми;Многопрофильный;49,0;0,96;
2015;10;Северо-Западный Федеральный округ;Республика Коми;Последствия травм головного мозга;1,0;0,03;
2015;10;Северо-Западный Федеральный округ;Республика Коми;Последствия травм спинного мозга;28,0;0,96;
2015;10;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни глаза;5,0;0,09;
2015;10;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни нервной системы;27,0;0,5;
2015;10;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни опорно-двигательного аппарата;34,0;0,63;
2015;10;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни органов дыхания;41,0;0,75;
2015;10;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни системы кровообращения;124,0;2,28;
2015;10;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни эндокринной системы;8,0;0,14;
2015;10;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Психоневрологические заболевания;3,0;0,06;
2015;10;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни глаза;87,0;1,63;
2015;10;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни мочеполовой системы;15,0;0,31;
2015;10;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни нервной системы;139,0;2,69;
2015;10;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни опорно-двигательного аппарата;195,0;3,67;
2015;10;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни органов дыхания;41,0;0,78;
2015;10;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни органов пищеварения;40,0;0,76;
2015;10;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни системы кровообращения;273,0;5,14;
2015;10;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни уха;35,0;0,71;
2015;10;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни эндокринной системы;21,0;0,42;
2015;10;Северо-Кавказский Федеральный округ;Чеченская республика;Многопрофильный;45,0;0,91;
2015;10;Северо-Кавказский Федеральный округ;Чеченская республика;Последствия травм головного мозга;1,0;0,02;
2015;10;Северо-Кавказский Федеральный округ;Чеченская республика;Последствия травм спинного мозга;19,0;0,78;
2015;10;Сибирский Федеральный округ;Алтайский край;Болезни глаза;54,0;1,05;
2015;10;Сибирский Федеральный округ;Алтайский край;Болезни кожи и подкожной клетчатки;2,0;0,04;
2015;10;Сибирский Федеральный округ;Алтайский край;Болезни мочеполовой системы;2,0;0,04;
2015;10;Сибирский Федеральный округ;Алтайский край;Болезни нервной системы;39,0;0,87;
2015;10;Сибирский Федеральный округ;Алтайский край;Болезни опорно-двигательного аппарата;85,0;1,75;
2015;10;Сибирский Федеральный округ;Алтайский край;Болезни органов дыхания;13,0;0,24;
2015;10;Сибирский Федеральный округ;Алтайский край;Болезни органов пищеварения;26,0;0,5;
2015;10;Сибирский Федеральный округ;Алтайский край;Болезни системы кровообращения;132,0;2,73;
2015;10;Сибирский Федеральный округ;Алтайский край;Болезни уха;12,0;0,23;
2015;10;Сибирский Федеральный округ;Алтайский край;Болезни эндокринной системы;18,0;0,36;
2015;10;Сибирский Федеральный округ;Алтайский край;Многопрофильный;456,0;9,15;
2015;10;Сибирский Федеральный округ;Алтайский край;Последствия травм спинного мозга;8,0;0,25;
2015;10;Сибирский Федеральный округ;Алтайский край;Психоневрологические заболевания;2,0;0,04;
2015;10;Сибирский Федеральный округ;Республика Алтай;Болезни глаза;24,0;0,44;
2015;10;Сибирский Федеральный округ;Республика Алтай;Болезни нервной системы;8,0;0,17;
2015;10;Сибирский Федеральный округ;Республика Алтай;Болезни опорно-двигательного аппарата;48,0;1,02;
2015;10;Сибирский Федеральный округ;Республика Алтай;Болезни органов дыхания;20,0;0,43;
2015;10;Сибирский Федеральный округ;Республика Алтай;Болезни органов пищеварения;3,0;0,06;
2015;10;Сибирский Федеральный округ;Республика Алтай;Болезни системы кровообращения;92,0;1,96;
2015;10;Сибирский Федеральный округ;Республика Алтай;Болезни эндокринной системы;4,0;0,09;
2015;10;Сибирский Федеральный округ;Республика Алтай;Последствия травм спинного мозга;2,0;0,06;
2015;10;Сибирский Федеральный округ;Республика Хакасия;Болезни опорно-двигательного аппарата;12,0;0,19;
2015;10;Сибирский Федеральный округ;Республика Хакасия;Болезни органов дыхания;3,0;0,06;
2015;10;Сибирский Федеральный округ;Республика Хакасия;Болезни органов пищеварения;1,0;0,02;
2015;10;Сибирский Федеральный округ;Республика Хакасия;Болезни системы кровообращения;81,0;1,55;
2015;10;Сибирский Федеральный округ;Республика Хакасия;Болезни эндокринной системы;4,0;0,09;
2015;10;Сибирский Федеральный округ;Республика Хакасия;Последствия травм спинного мозга;5,0;0,17;
2015;10;Южный Федеральный округ;Республика Калмыкия;Болезни глаза;4,0;0,07;
2015;10;Южный Федеральный округ;Республика Калмыкия;Болезни нервной системы;1,0;0,02;
2015;10;Южный Федеральный округ;Республика Калмыкия;Болезни опорно-двигательного аппарата;181,0;3,35;
2015;10;Южный Федеральный округ;Республика Калмыкия;Болезни органов дыхания;1,0;0,02;
2015;10;Южный Федеральный округ;Республика Калмыкия;Болезни системы кровообращения;348,0;6,42;
2015;10;Южный Федеральный округ;Республика Калмыкия;Болезни эндокринной системы;7,0;0,13;
2015;10;Южный Федеральный округ;Республика Калмыкия;Последствия травм спинного мозга;2,0;0,06;
2015;10;Южный Федеральный округ;Республика Калмыкия;Психоневрологические заболевания;2,0;0,04;
2015;11;Дальневосточный Федеральный округ;Амурская область;Болезни глаза;82,0;1,26;
2015;11;Дальневосточный Федеральный округ;Амурская область;Болезни нервной системы;26,0;0,53;
2015;11;Дальневосточный Федеральный округ;Амурская область;Болезни опорно-двигательного аппарата;374,0;6,46;
2015;11;Дальневосточный Федеральный округ;Амурская область;Болезни органов дыхания;130,0;2,29;
2015;11;Дальневосточный Федеральный округ;Амурская область;Болезни органов пищеварения;1,0;0,02;
2015;11;Дальневосточный Федеральный округ;Амурская область;Болезни системы кровообращения;726,0;11,36;
2015;11;Дальневосточный Федеральный округ;Амурская область;Болезни эндокринной системы;82,0;1,36;
2015;11;Дальневосточный Федеральный округ;Амурская область;Общий;3,0;0,05;
2015;11;Дальневосточный Федеральный округ;Амурская область;Последствия травм головного мозга;5,0;0,19;
2015;11;Дальневосточный Федеральный округ;Амурская область;Последствия травм спинного мозга;21,0;0,73;
2015;11;Дальневосточный Федеральный округ;Приморский край;Болезни мочеполовой системы;3,0;0,06;
2015;11;Дальневосточный Федеральный округ;Приморский край;Болезни нервной системы;77,0;1,2;
2015;11;Дальневосточный Федеральный округ;Приморский край;Болезни опорно-двигательного аппарата;471,0;8,71;
2015;11;Дальневосточный Федеральный округ;Приморский край;Болезни органов дыхания;52,0;0,8;
2015;11;Дальневосточный Федеральный округ;Приморский край;Болезни органов пищеварения;1,0;0,02;
2015;11;Дальневосточный Федеральный округ;Приморский край;Болезни системы кровообращения;1201,0;20,73;
2015;11;Дальневосточный Федеральный округ;Приморский край;Болезни эндокринной системы;9,0;0,17;
2015;11;Дальневосточный Федеральный округ;Приморский край;Последствия травм спинного мозга;2,0;0,06;
2015;11;Дальневосточный Федеральный округ;Хабаровский край;Болезни глаза;13,0;0,27;
2015;11;Дальневосточный Федеральный округ;Хабаровский край;Болезни кожи и подкожной клетчатки;1,0;0,02;
2015;11;Дальневосточный Федеральный округ;Хабаровский край;Болезни мочеполовой системы;2,0;0,04;
2015;11;Дальневосточный Федеральный округ;Хабаровский край;Болезни нервной системы;17,0;0,31;
2015;11;Дальневосточный Федеральный округ;Хабаровский край;Болезни опорно-двигательного аппарата;131,0;2,77;
2015;11;Дальневосточный Федеральный округ;Хабаровский край;Болезни органов дыхания;6,0;0,1;
2015;11;Дальневосточный Федеральный округ;Хабаровский край;Болезни системы кровообращения;135,0;2,78;
2015;11;Дальневосточный Федеральный округ;Хабаровский край;Болезни уха;15,0;0,33;
2015;11;Дальневосточный Федеральный округ;Хабаровский край;Болезни эндокринной системы;24,0;0,5;
2015;11;Дальневосточный Федеральный округ;Хабаровский край;Общий;4,0;0,09;
2015;11;Дальневосточный Федеральный округ;Хабаровский край;Последствия травм спинного мозга;23,0;0,63;
2015;11;Дальневосточный Федеральный округ;Хабаровский край;Психоневрологические заболевания;3,0;0,07;
2015;11;Приволжский Федеральный округ;Республика Марий Эл;Болезни глаза;1,0;0,02;
2015;11;Приволжский Федеральный округ;Республика Марий Эл;Болезни нервной системы;4,0;0,07;
2015;11;Приволжский Федеральный округ;Республика Марий Эл;Болезни опорно-двигательного аппарата;15,0;0,27;
2015;11;Приволжский Федеральный округ;Республика Марий Эл;Болезни органов дыхания;1,0;0,02;
2015;11;Приволжский Федеральный округ;Республика Марий Эл;Болезни системы кровообращения;24,0;0,44;
2015;11;Приволжский Федеральный округ;Республика Марий Эл;Многопрофильный;380,0;7,17;
2015;11;Приволжский Федеральный округ;Республика Марий Эл;Последствия травм головного мозга;1,0;0,03;
2015;11;Приволжский Федеральный округ;Республика Марий Эл;Последствия травм спинного мозга;4,0;0,15;
2015;11;Приволжский Федеральный округ;Республика Мордовия;Болезни глаза;66,0;1,4;
2015;11;Приволжский Федеральный округ;Республика Мордовия;Болезни нервной системы;110,0;1,84;
2015;11;Приволжский Федеральный округ;Республика Мордовия;Болезни опорно-двигательного аппарата;57,0;1,07;
2015;11;Приволжский Федеральный округ;Республика Мордовия;Болезни органов дыхания;34,0;0,57;
2015;11;Приволжский Федеральный округ;Республика Мордовия;Болезни органов пищеварения;1,0;0,02;
2015;11;Приволжский Федеральный округ;Республика Мордовия;Болезни системы кровообращения;289,0;5,0;
2015;11;Приволжский Федеральный округ;Республика Мордовия;Болезни эндокринной системы;22,0;0,37;
2015;11;Приволжский Федеральный округ;Удмуртская республика;Болезни глаза;15,0;0,28;
2015;11;Приволжский Федеральный округ;Удмуртская республика;Болезни мочеполовой системы;9,0;0,16;
2015;11;Приволжский Федеральный округ;Удмуртская республика;Болезни нервной системы;149,0;2,73;
2015;11;Приволжский Федеральный округ;Удмуртская республика;Болезни опорно-двигательного аппарата;290,0;5,19;
2015;11;Приволжский Федеральный округ;Удмуртская республика;Болезни органов дыхания;30,0;0,56;
2015;11;Приволжский Федеральный округ;Удмуртская республика;Болезни органов пищеварения;36,0;0,66;
2015;11;Приволжский Федеральный округ;Удмуртская республика;Болезни системы кровообращения;493,0;8,99;
2015;11;Приволжский Федеральный округ;Удмуртская республика;Болезни уха;6,0;0,1;
2015;11;Приволжский Федеральный округ;Удмуртская республика;Болезни эндокринной системы;88,0;1,62;
2015;11;Приволжский Федеральный округ;Удмуртская республика;Многопрофильный;260,0;4,64;
2015;11;Приволжский Федеральный округ;Удмуртская республика;Общий;3,0;0,06;
2015;11;Приволжский Федеральный округ;Удмуртская республика;Последствия травм спинного мозга;10,0;0,36;
2015;11;Приволжский Федеральный округ;Чувашская республика;Болезни нервной системы;1,0;0,02;
2015;11;Приволжский Федеральный округ;Чувашская республика;Болезни опорно-двигательного аппарата;4,0;0,07;
2015;11;Приволжский Федеральный округ;Чувашская республика;Болезни органов дыхания;3,0;0,05;
2015;11;Приволжский Федеральный округ;Чувашская республика;Болезни органов пищеварения;3,0;0,06;
2015;11;Приволжский Федеральный округ;Чувашская республика;Болезни системы кровообращения;11,0;0,19;
2015;11;Приволжский Федеральный округ;Чувашская республика;Болезни эндокринной системы;1,0;0,02;
2015;11;Приволжский Федеральный округ;Чувашская республика;Многопрофильный;69,0;1,23;
2015;11;Северо-Западный Федеральный округ;Архангельская область;Болезни нервной системы;29,0;0,6;
2015;11;Северо-Западный Федеральный округ;Архангельская область;Болезни опорно-двигательного аппарата;165,0;2,69;
2015;11;Северо-Западный Федеральный округ;Архангельская область;Болезни органов дыхания;20,0;0,27;
2015;11;Северо-Западный Федеральный округ;Архангельская область;Болезни органов пищеварения;10,0;0,19;
2015;11;Северо-Западный Федеральный округ;Архангельская область;Болезни системы кровообращения;242,0;3,52;
2015;11;Северо-Западный Федеральный округ;Архангельская область;Болезни эндокринной системы;10,0;0,16;
2015;11;Северо-Западный Федеральный округ;Архангельская область;Психоневрологические заболевания;2,0;0,04;
2015;11;Северо-Западный Федеральный округ;Республика Коми;Болезни глаза;4,0;0,08;
2015;11;Северо-Западный Федеральный округ;Республика Коми;Болезни мочеполовой системы;12,0;0,26;
2015;11;Северо-Западный Федеральный округ;Республика Коми;Болезни нервной системы;112,0;2,3;
2015;11;Северо-Западный Федеральный округ;Республика Коми;Болезни опорно-двигательного аппарата;241,0;4,91;
2015;11;Северо-Западный Федеральный округ;Республика Коми;Болезни органов дыхания;31,0;0,67;
2015;11;Северо-Западный Федеральный округ;Республика Коми;Болезни органов пищеварения;50,0;1,07;
2015;11;Северо-Западный Федеральный округ;Республика Коми;Болезни системы кровообращения;649,0;12,5;
2015;11;Северо-Западный Федеральный округ;Республика Коми;Болезни уха;16,0;0,32;
2015;11;Северо-Западный Федеральный округ;Республика Коми;Болезни эндокринной системы;86,0;1,82;
2015;11;Северо-Западный Федеральный округ;Республика Коми;Многопрофильный;67,0;1,42;
2015;11;Северо-Западный Федеральный округ;Республика Коми;Последствия травм спинного мозга;4,0;0,13;
2015;11;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни нервной системы;2,0;0,04;
2015;11;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни опорно-двигательного аппарата;20,0;0,37;
2015;11;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни органов дыхания;44,0;0,8;
2015;11;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни органов пищеварения;3,0;0,06;
2015;11;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни системы кровообращения;67,0;1,23;
2015;11;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни эндокринной системы;3,0;0,05;
2015;11;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни глаза;47,0;0,87;
2015;11;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни кожи и подкожной клетчатки;2,0;0,05;
2015;11;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни мочеполовой системы;17,0;0,37;
2015;11;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни нервной системы;80,0;1,5;
2015;11;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни опорно-двигательного аппарата;144,0;2,67;
2015;11;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни органов дыхания;41,0;0,68;
2015;11;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни органов пищеварения;34,0;0,7;
2015;11;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни системы кровообращения;335,0;6,0;
2015;11;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни уха;3,0;0,06;
2015;11;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни эндокринной системы;22,0;0,47;
2015;11;Северо-Кавказский Федеральный округ;Чеченская республика;Многопрофильный;28,0;0,53;
2015;11;Северо-Кавказский Федеральный округ;Чеченская республика;Последствия травм спинного мозга;22,0;1,0;
2015;11;Сибирский Федеральный округ;Алтайский край;Болезни глаза;6,0;0,11;
2015;11;Сибирский Федеральный округ;Алтайский край;Болезни мочеполовой системы;2,0;0,04;
2015;11;Сибирский Федеральный округ;Алтайский край;Болезни нервной системы;24,0;0,51;
2015;11;Сибирский Федеральный округ;Алтайский край;Болезни опорно-двигательного аппарата;75,0;1,53;
2015;11;Сибирский Федеральный округ;Алтайский край;Болезни органов дыхания;22,0;0,44;
2015;11;Сибирский Федеральный округ;Алтайский край;Болезни органов пищеварения;19,0;0,35;
2015;11;Сибирский Федеральный округ;Алтайский край;Болезни системы кровообращения;243,0;5,12;
2015;11;Сибирский Федеральный округ;Алтайский край;Болезни уха;2,0;0,04;
2015;11;Сибирский Федеральный округ;Алтайский край;Болезни эндокринной системы;22,0;0,44;
2015;11;Сибирский Федеральный округ;Алтайский край;Многопрофильный;318,0;6,39;
2015;11;Сибирский Федеральный округ;Алтайский край;Последствия травм спинного мозга;5,0;0,21;
2015;11;Сибирский Федеральный округ;Республика Алтай;Болезни глаза;5,0;0,09;
2015;11;Сибирский Федеральный округ;Республика Алтай;Болезни нервной системы;12,0;0,28;
2015;11;Сибирский Федеральный округ;Республика Алтай;Болезни опорно-двигательного аппарата;53,0;1,11;
2015;11;Сибирский Федеральный округ;Республика Алтай;Болезни органов дыхания;22,0;0,47;
2015;11;Сибирский Федеральный округ;Республика Алтай;Болезни органов пищеварения;2,0;0,04;
2015;11;Сибирский Федеральный округ;Республика Алтай;Болезни системы кровообращения;88,0;1,87;
2015;11;Сибирский Федеральный округ;Республика Алтай;Болезни эндокринной системы;8,0;0,18;
2015;11;Сибирский Федеральный округ;Республика Алтай;Последствия травм спинного мозга;6,0;0,26;
2015;11;Сибирский Федеральный округ;Республика Хакасия;Болезни нервной системы;4,0;0,08;
2015;11;Сибирский Федеральный округ;Республика Хакасия;Болезни опорно-двигательного аппарата;42,0;0,87;
2015;11;Сибирский Федеральный округ;Республика Хакасия;Болезни органов дыхания;5,0;0,1;
2015;11;Сибирский Федеральный округ;Республика Хакасия;Болезни органов пищеварения;2,0;0,04;
2015;11;Сибирский Федеральный округ;Республика Хакасия;Болезни системы кровообращения;182,0;3,91;
2015;11;Сибирский Федеральный округ;Республика Хакасия;Болезни эндокринной системы;10,0;0,22;
2015;11;Сибирский Федеральный округ;Республика Хакасия;Последствия травм спинного мозга;3,0;0,14;
2015;11;Южный Федеральный округ;Республика Калмыкия;Болезни нервной системы;83,0;1,79;
2015;11;Южный Федеральный округ;Республика Калмыкия;Болезни опорно-двигательного аппарата;71,0;1,31;
2015;11;Южный Федеральный округ;Республика Калмыкия;Болезни системы кровообращения;238,0;4,46;
2015;11;Южный Федеральный округ;Республика Калмыкия;Болезни эндокринной системы;2,0;0,04;
