Год;Месяц;Федеральный округ;Регион;Число детей;Количество детей, чел. ;
2015;10;Южный Федеральный округ;Республика Крым;2й и более ребенок;1142,0;
2015;10;Южный Федеральный округ;Ростовская область;1й ребенок;1980,0;
2015;10;Южный Федеральный округ;Ростовская область;2й и более ребенок;2216,0;
2015;10;Южный Федеральный округ;Севастополь;1й ребенок;191,0;
2015;10;Южный Федеральный округ;Севастополь;2й и более ребенок;246,0;
2015;11;Дальневосточный Федеральный округ;Амурская область;1й ребенок;343,0;
2015;11;Дальневосточный Федеральный округ;Амурская область;2й и более ребенок;463,0;
2015;11;Дальневосточный Федеральный округ;Еврейская автономная область;1й ребенок;72,0;
2015;11;Дальневосточный Федеральный округ;Еврейская автономная область;2й и более ребенок;106,0;
2015;11;Дальневосточный Федеральный округ;Камчатский край;1й ребенок;133,0;
2015;11;Дальневосточный Федеральный округ;Камчатский край;2й и более ребенок;189,0;
2015;11;Дальневосточный Федеральный округ;Магаданская область;1й ребенок;59,0;
2015;11;Дальневосточный Федеральный округ;Магаданская область;2й и более ребенок;81,0;
2015;11;Дальневосточный Федеральный округ;Приморский край;1й ребенок;827,0;
2015;11;Дальневосточный Федеральный округ;Приморский край;2й и более ребенок;1137,0;
2015;11;Дальневосточный Федеральный округ;Республика Саха (Якутия);1й ребенок;401,0;
2015;11;Дальневосточный Федеральный округ;Республика Саха (Якутия);2й и более ребенок;895,0;
2015;11;Дальневосточный Федеральный округ;Сахалинская область;1й ребенок;179,0;
2015;11;Дальневосточный Федеральный округ;Сахалинская область;2й и более ребенок;310,0;
2015;11;Дальневосточный Федеральный округ;Хабаровский край;1й ребенок;502,0;
2015;11;Дальневосточный Федеральный округ;Хабаровский край;2й и более ребенок;873,0;
2015;11;Дальневосточный Федеральный округ;Чукотский автономный округ;1й ребенок;29,0;
2015;11;Дальневосточный Федеральный округ;Чукотский автономный округ;2й и более ребенок;42,0;
2015;11;Приволжский Федеральный округ;Кировская область;1й ребенок;480,0;
2015;11;Приволжский Федеральный округ;Кировская область;2й и более ребенок;879,0;
2015;11;Приволжский Федеральный округ;Нижегородская область;1й ребенок;1299,0;
2015;11;Приволжский Федеральный округ;Нижегородская область;2й и более ребенок;1814,0;
2015;11;Приволжский Федеральный округ;Оренбургская область;1й ребенок;781,0;
2015;11;Приволжский Федеральный округ;Оренбургская область;2й и более ребенок;1433,0;
2015;11;Приволжский Федеральный округ;Пензенская область;1й ребенок;533,0;
2015;11;Приволжский Федеральный округ;Пензенская область;2й и более ребенок;648,0;
2015;11;Приволжский Федеральный округ;Пермский край;1й ребенок;1068,0;
2015;11;Приволжский Федеральный округ;Пермский край;2й и более ребенок;1924,0;
2015;11;Приволжский Федеральный округ;Республика Башкортостан;1й ребенок;1603,0;
2015;11;Приволжский Федеральный округ;Республика Башкортостан;2й и более ребенок;2857,0;
2015;11;Приволжский Федеральный округ;Республика Марий Эл;1й ребенок;274,0;
2015;11;Приволжский Федеральный округ;Республика Марий Эл;2й и более ребенок;502,0;
2015;11;Приволжский Федеральный округ;Республика Мордовия;1й ребенок;264,0;
2015;11;Приволжский Федеральный округ;Республика Мордовия;2й и более ребенок;374,0;
2015;11;Приволжский Федеральный округ;Республика Татарстан;1й ребенок;1791,0;
2015;11;Приволжский Федеральный округ;Республика Татарстан;2й и более ребенок;2685,0;
2015;11;Приволжский Федеральный округ;Самарская область;1й ребенок;1270,0;
2015;11;Приволжский Федеральный округ;Самарская область;2й и более ребенок;1818,0;
2015;11;Приволжский Федеральный округ;Саратовская область;1й ребенок;969,0;
2015;11;Приволжский Федеральный округ;Саратовская область;2й и более ребенок;1303,0;
2015;11;Приволжский Федеральный округ;Удмуртская республика;1й ребенок;627,0;
2015;11;Приволжский Федеральный округ;Удмуртская республика;2й и более ребенок;1035,0;
2015;11;Приволжский Федеральный округ;Ульяновская область;1й ребенок;461,0;
2015;11;Приволжский Федеральный округ;Ульяновская область;2й и более ребенок;682,0;
2015;11;Приволжский Федеральный округ;Чувашская республика;1й ребенок;531,0;
2015;11;Приволжский Федеральный округ;Чувашская республика;2й и более ребенок;902,0;
2015;11;Северо-Западный Федеральный округ;Архангельская область;1й ребенок;415,0;
2015;11;Северо-Западный Федеральный округ;Архангельская область;2й и более ребенок;654,0;
2015;11;Северо-Западный Федеральный округ;Вологодская область;1й ребенок;476,0;
2015;11;Северо-Западный Федеральный округ;Вологодская область;2й и более ребенок;849,0;
2015;11;Северо-Западный Федеральный округ;Калининградская область;1й ребенок;391,0;
2015;11;Северо-Западный Федеральный округ;Калининградская область;2й и более ребенок;570,0;
2015;11;Северо-Западный Федеральный округ;Ленинградская область;1й ребенок;445,0;
2015;11;Северо-Западный Федеральный округ;Ленинградская область;2й и более ребенок;704,0;
2015;11;Северо-Западный Федеральный округ;Мурманская область;1й ребенок;317,0;
2015;11;Северо-Западный Федеральный округ;Мурманская область;2й и более ребенок;425,0;
2015;11;Северо-Западный Федеральный округ;Ненецкий автономный округ;1й ребенок;22,0;
2015;11;Северо-Западный Федеральный округ;Ненецкий автономный округ;2й и более ребенок;46,0;
2015;11;Северо-Западный Федеральный округ;Новгородская область;1й ребенок;188,0;
2015;11;Северо-Западный Федеральный округ;Новгородская область;2й и более ребенок;362,0;
2015;11;Северо-Западный Федеральный округ;Псковская область;1й ребенок;224,0;
2015;11;Северо-Западный Федеральный округ;Псковская область;2й и более ребенок;347,0;
2015;11;Северо-Западный Федеральный округ;Республика Карелия;1й ребенок;223,0;
2015;11;Северо-Западный Федеральный округ;Республика Карелия;2й и более ребенок;447,0;
2015;11;Северо-Западный Федеральный округ;Республика Коми;1й ребенок;401,0;
2015;11;Северо-Западный Федеральный округ;Республика Коми;2й и более ребенок;532,0;
2015;11;Северо-Западный Федеральный округ;Санкт-Петербург;1й ребенок;2316,0;
2015;11;Северо-Западный Федеральный округ;Санкт-Петербург;2й и более ребенок;2178,0;
2015;11;Северо-Кавказский Федеральный округ;Кабардино-Балкарская республика;1й ребенок;288,0;
2015;11;Северо-Кавказский Федеральный округ;Кабардино-Балкарская республика;2й и более ребенок;717,0;
2015;11;Северо-Кавказский Федеральный округ;Республика Дагестан;1й ребенок;1323,0;
2015;11;Северо-Кавказский Федеральный округ;Республика Дагестан;2й и более ребенок;2880,0;
2015;11;Северо-Кавказский Федеральный округ;Республика Ингушетия;1й ребенок;493,0;
2015;11;Северо-Кавказский Федеральный округ;Республика Ингушетия;2й и более ребенок;106,0;
2015;11;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;1й ребенок;146,0;
2015;11;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;2й и более ребенок;239,0;
2015;11;Северо-Кавказский Федеральный округ;Республика Северная Осетия-Алания;1й ребенок;271,0;
2015;11;Северо-Кавказский Федеральный округ;Республика Северная Осетия-Алания;2й и более ребенок;510,0;
2015;11;Северо-Кавказский Федеральный округ;Ставропольский край;1й ребенок;1427,0;
2015;11;Северо-Кавказский Федеральный округ;Ставропольский край;2й и более ребенок;1504,0;
2015;11;Северо-Кавказский Федеральный округ;Чеченская республика;1й ребенок;505,0;
2015;11;Северо-Кавказский Федеральный округ;Чеченская республика;2й и более ребенок;1839,0;
2015;11;Сибирский Федеральный округ;Алтайский край;1й ребенок;836,0;
2015;11;Сибирский Федеральный округ;Алтайский край;2й и более ребенок;1577,0;
2015;11;Сибирский Федеральный округ;Забайкальский край;1й ребенок;461,0;
2015;11;Сибирский Федеральный округ;Забайкальский край;2й и более ребенок;845,0;
2015;11;Сибирский Федеральный округ;Иркутская область;1й ребенок;1035,0;
2015;11;Сибирский Федеральный округ;Иркутская область;2й и более ребенок;1705,0;
2015;11;Сибирский Федеральный округ;Кемеровская область;1й ребенок;862,0;
2015;11;Сибирский Федеральный округ;Кемеровская область;2й и более ребенок;1675,0;
2015;11;Сибирский Федеральный округ;Красноярский край;1й ребенок;1664,0;
2015;11;Сибирский Федеральный округ;Красноярский край;2й и более ребенок;1450,0;
2015;11;Сибирский Федеральный округ;Новосибирская область;1й ребенок;1260,0;
2015;11;Сибирский Федеральный округ;Новосибирская область;2й и более ребенок;1738,0;
2015;11;Сибирский Федеральный округ;Омская область;1й ребенок;856,0;
2015;11;Сибирский Федеральный округ;Омская область;2й и более ребенок;1311,0;
2015;11;Сибирский Федеральный округ;Республика Алтай;1й ребенок;92,0;
2015;11;Сибирский Федеральный округ;Республика Алтай;2й и более ребенок;189,0;
2015;11;Сибирский Федеральный округ;Республика Бурятия;1й ребенок;537,0;
2015;11;Сибирский Федеральный округ;Республика Бурятия;2й и более ребенок;797,0;
2015;11;Сибирский Федеральный округ;Республика Тыва;1й ребенок;178,0;
2015;11;Сибирский Федеральный округ;Республика Тыва;2й и более ребенок;395,0;
2015;11;Сибирский Федеральный округ;Республика Хакасия;1й ребенок;196,0;
2015;11;Сибирский Федеральный округ;Республика Хакасия;2й и более ребенок;455,0;
2015;11;Сибирский Федеральный округ;Томская область;1й ребенок;453,0;
2015;11;Сибирский Федеральный округ;Томская область;2й и более ребенок;783,0;
2015;11;Уральский Федеральный округ;Курганская область;1й ребенок;276,0;
2015;11;Уральский Федеральный округ;Курганская область;2й и более ребенок;636,0;
2015;11;Уральский Федеральный округ;Свердловская область;1й ребенок;1831,0;
2015;11;Уральский Федеральный округ;Свердловская область;2й и более ребенок;3113,0;
2015;11;Уральский Федеральный округ;Тюменская область;1й ребенок;750,0;
2015;11;Уральский Федеральный округ;Тюменская область;2й и более ребенок;1096,0;
2015;11;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;1й ребенок;772,0;
2015;11;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;2й и более ребенок;1282,0;
2015;11;Уральский Федеральный округ;Челябинская область;1й ребенок;1384,0;
2015;11;Уральский Федеральный округ;Челябинская область;2й и более ребенок;2424,0;
2015;11;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;1й ребенок;227,0;
2015;11;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;2й и более ребенок;466,0;
2015;11;Центральный Федеральный округ;Белгородская область;1й ребенок;577,0;
2015;11;Центральный Федеральный округ;Белгородская область;2й и более ребенок;760,0;
2015;11;Центральный Федеральный округ;Брянская область;1й ребенок;466,0;
2015;11;Центральный Федеральный округ;Брянская область;2й и более ребенок;616,0;
2015;11;Центральный Федеральный округ;Владимирская область;1й ребенок;564,0;
2015;11;Центральный Федеральный округ;Владимирская область;2й и более ребенок;752,0;
2015;11;Центральный Федеральный округ;Воронежская область;1й ребенок;820,0;
2015;11;Центральный Федеральный округ;Воронежская область;2й и более ребенок;1123,0;
2015;11;Центральный Федеральный округ;Ивановская область;1й ребенок;394,0;
2015;11;Центральный Федеральный округ;Ивановская область;2й и более ребенок;579,0;
2015;11;Центральный Федеральный округ;Калужская область;1й ребенок;363,0;
2015;11;Центральный Федеральный округ;Калужская область;2й и более ребенок;597,0;
2015;11;Центральный Федеральный округ;Костромская область;1й ребенок;245,0;
2015;11;Центральный Федеральный округ;Костромская область;2й и более ребенок;364,0;
2015;11;Центральный Федеральный округ;Курская область;1й ребенок;437,0;
2015;11;Центральный Федеральный округ;Курская область;2й и более ребенок;570,0;
2015;11;Центральный Федеральный округ;Липецкая область;1й ребенок;428,0;
2015;11;Центральный Федеральный округ;Липецкая область;2й и более ребенок;659,0;
2015;11;Центральный Федеральный округ;Москва;1й ребенок;5021,0;
2015;11;Центральный Федеральный округ;Москва;2й и более ребенок;4708,0;
2015;11;Центральный Федеральный округ;Московская область;1й ребенок;2883,0;
2015;11;Центральный Федеральный округ;Московская область;2й и более ребенок;3196,0;
2015;11;Центральный Федеральный округ;Орловская область;1й ребенок;303,0;
2015;11;Центральный Федеральный округ;Орловская область;2й и более ребенок;372,0;
2015;11;Центральный Федеральный округ;Рязанская область;1й ребенок;408,0;
2015;11;Центральный Федеральный округ;Рязанская область;2й и более ребенок;625,0;
2015;11;Центральный Федеральный округ;Смоленская область;1й ребенок;319,0;
2015;11;Центральный Федеральный округ;Смоленская область;2й и более ребенок;456,0;
2015;11;Центральный Федеральный округ;Тамбовская область;1й ребенок;339,0;
2015;11;Центральный Федеральный округ;Тамбовская область;2й и более ребенок;461,0;
2015;11;Центральный Федеральный округ;Тверская область;1й ребенок;482,0;
2015;11;Центральный Федеральный округ;Тверская область;2й и более ребенок;659,0;
2015;11;Центральный Федеральный округ;Тульская область;1й ребенок;492,0;
2015;11;Центральный Федеральный округ;Тульская область;2й и более ребенок;703,0;
2015;11;Центральный Федеральный округ;Ярославская область;1й ребенок;508,0;
2015;11;Центральный Федеральный округ;Ярославская область;2й и более ребенок;685,0;
2015;11;Южный Федеральный округ;Астраханская область;1й ребенок;401,0;
2015;11;Южный Федеральный округ;Астраханская область;2й и более ребенок;740,0;
2015;11;Южный Федеральный округ;Волгоградская область;1й ребенок;814,0;
